@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
400,'2017/05/28 21:03:49:404',4,99,186,99,106
401,'2017/05/28 21:05:11:413',5,0,164,0,135
402,'2017/05/28 21:05:11:414',5,1,173,1,170
403,'2017/05/28 21:05:11:450',5,2,190,2,186
404,'2017/05/28 21:05:11:450',5,3,199,3,209
405,'2017/05/28 21:05:11:450',5,4,209,4,232
406,'2017/05/28 21:05:11:453',5,5,222,5,258
407,'2017/05/28 21:05:11:497',5,6,232,6,293
408,'2017/05/28 21:05:11:498',5,7,241,7,319
409,'2017/05/28 21:05:11:498',5,8,248,8,338
410,'2017/05/28 21:05:11:498',5,9,251,9,374
411,'2017/05/28 21:05:11:504',5,10,261,10,390
412,'2017/05/28 21:05:11:521',5,11,264,11,426
413,'2017/05/28 21:05:11:523',5,12,267,12,439
414,'2017/05/28 21:05:11:533',5,13,277,13,464
415,'2017/05/28 21:05:11:552',5,14,280,14,497
416,'2017/05/28 21:05:11:552',5,15,283,15,516
417,'2017/05/28 21:05:11:573',5,16,287,16,529
418,'2017/05/28 21:05:11:573',5,17,293,17,561
419,'2017/05/28 21:05:11:582',5,18,296,18,574
420,'2017/05/28 21:05:11:601',5,19,300,19,584
421,'2017/05/28 21:05:11:603',5,20,300,20,594
422,'2017/05/28 21:05:11:615',5,21,303,21,600
423,'2017/05/28 21:05:11:634',5,22,306,22,610
424,'2017/05/28 21:05:11:634',5,23,306,23,620
425,'2017/05/28 21:05:11:665',5,24,306,24,626
426,'2017/05/28 21:05:11:665',5,25,306,25,633
427,'2017/05/28 21:05:11:665',5,26,306,26,639
428,'2017/05/28 21:05:11:681',5,27,306,27,645
429,'2017/05/28 21:05:11:682',5,28,306,28,649
430,'2017/05/28 21:05:11:699',5,29,306,29,652
431,'2017/05/28 21:05:11:703',5,30,309,30,655
432,'2017/05/28 21:05:11:713',5,31,309,31,662
433,'2017/05/28 21:05:11:729',5,32,309,32,665
434,'2017/05/28 21:05:11:733',5,33,309,33,665
435,'2017/05/28 21:05:11:743',5,34,309,34,665
436,'2017/05/28 21:05:11:759',5,35,309,35,665
437,'2017/05/28 21:05:11:763',5,36,309,36,665
438,'2017/05/28 21:05:11:773',5,37,309,37,665
439,'2017/05/28 21:05:11:787',5,38,309,38,668
440,'2017/05/28 21:05:11:793',5,39,309,39,668
441,'2017/05/28 21:05:11:802',5,40,309,40,668
442,'2017/05/28 21:05:11:818',5,41,309,41,668
443,'2017/05/28 21:05:11:840',5,42,309,42,668
444,'2017/05/28 21:05:11:841',5,43,309,43,671
445,'2017/05/28 21:05:11:842',5,44,309,44,671
446,'2017/05/28 21:05:11:853',5,45,309,45,675
447,'2017/05/28 21:05:11:881',5,46,309,46,671
448,'2017/05/28 21:05:11:881',5,47,309,47,668
449,'2017/05/28 21:05:11:883',5,48,309,48,668
450,'2017/05/28 21:05:11:897',5,49,309,49,668
451,'2017/05/28 21:05:11:903',5,50,309,50,671
452,'2017/05/28 21:05:11:920',5,51,309,51,671
453,'2017/05/28 21:05:11:923',5,52,309,52,671
454,'2017/05/28 21:05:11:933',5,53,309,53,671
455,'2017/05/28 21:05:11:949',5,54,309,54,671
456,'2017/05/28 21:05:11:952',5,55,309,55,668
457,'2017/05/28 21:05:11:963',5,56,309,56,668
458,'2017/05/28 21:05:11:973',5,57,312,57,668
459,'2017/05/28 21:05:11:985',5,58,312,58,668
460,'2017/05/28 21:05:11:993',5,59,312,59,668
461,'2017/05/28 21:05:12:003',5,60,312,60,668
