@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
3082,'2017/05/31 10:25:59:859',12,471,-1.596726,1
3083,'2017/05/31 10:25:59:859',12,471,-1.583952,1
3084,'2017/05/31 10:25:59:869',12,471,-1.571217,1
3085,'2017/05/31 10:25:59:888',12,471,-1.558519,1
3086,'2017/05/31 10:25:59:889',12,471,-1.528106,1
3087,'2017/05/31 10:25:59:899',12,471,-1.497784,1
3088,'2017/05/31 10:25:59:918',12,471,-1.467552,1
3089,'2017/05/31 10:25:59:919',12,471,-1.43299,1
3090,'2017/05/31 10:25:59:929',12,471,-1.398529,1
3091,'2017/05/31 10:25:59:943',12,471,-1.36417,1
3092,'2017/05/31 10:25:59:949',12,471,-1.329912,1
3093,'2017/05/31 10:25:59:959',12,471,-1.295754,1
3094,'2017/05/31 10:25:59:973',12,471,-1.25731,1
3095,'2017/05/31 10:25:59:980',12,471,-1.218978,1
3096,'2017/05/31 10:26:00:001',12,468,-1.206997,1
3097,'2017/05/31 10:26:00:001',12,468,-1.195051,1
3098,'2017/05/31 10:26:00:009',12,468,-1.1875,1
3099,'2017/05/31 10:26:00:043',12,468,-1.179971,1
3100,'2017/05/31 10:26:00:044',12,468,-1.172464,1
3101,'2017/05/31 10:26:00:044',12,468,-1.173661,1
3102,'2017/05/31 10:26:00:059',12,468,-1.174855,1
3103,'2017/05/31 10:26:00:059',12,468,-1.176046,1
3104,'2017/05/31 10:26:00:077',12,468,-1.177233,1
3105,'2017/05/31 10:26:00:079',12,468,-1.178417,1
3106,'2017/05/31 10:26:00:091',12,474,-1.170977,1
3107,'2017/05/31 10:26:00:099',12,474,-1.163558,1
3108,'2017/05/31 10:26:00:109',12,474,-1.147564,1
3109,'2017/05/31 10:26:00:119',12,474,-1.131617,1
3110,'2017/05/31 10:26:00:129',12,474,-1.115714,1
3111,'2017/05/31 10:26:00:139',12,474,-1.099857,1
3112,'2017/05/31 10:26:00:151',12,474,-1.084046,1
3113,'2017/05/31 10:26:00:159',12,474,-1.068279,1
3114,'2017/05/31 10:26:00:169',12,474,-1.052557,1
3115,'2017/05/31 10:26:00:202',12,474,-1.041135,1
3116,'2017/05/31 10:26:00:202',12,474,-1.029745,1
3117,'2017/05/31 10:26:00:202',12,477,-1.03819,1
3118,'2017/05/31 10:26:00:209',12,477,-1.04661,1
3119,'2017/05/31 10:26:00:244',12,477,-1.050776,1
3120,'2017/05/31 10:26:00:244',12,477,-1.05493,1
3121,'2017/05/31 10:26:00:244',12,477,-1.059072,1
3122,'2017/05/31 10:26:00:258',12,474,-1.071629,1
3123,'2017/05/31 10:26:00:260',12,474,-1.084152,1
3124,'2017/05/31 10:26:00:279',12,474,-1.10084,1
3125,'2017/05/31 10:26:00:279',12,474,-1.121678,1
3126,'2017/05/31 10:26:00:289',12,474,-1.142458,1
3127,'2017/05/31 10:26:00:299',12,471,-1.154812,1
3128,'2017/05/31 10:26:00:311',12,471,-1.167131,1
3129,'2017/05/31 10:26:00:319',12,471,-1.183588,1
